airline_name,avg_seat_comfort,avg_cabin_staff_service,avg_food_beverages,avg_ground_service,avg_inflight_entertainment,avg_wifi_connectivity,avg_value_for_money
Jazeera Airways,2.0308505388175146,2.3110653953946225,2.257221485411142,1.2692307692307692,1.7307692307692308,1,1.9762975658135138
Berjaya Air,2.828916000560931,2.9977394109248583,2.7023908045977003,1,2.25,1,3.446124557038377
NextJet,1,2,4,1,0,1,1
Cebu Pacific,2.264593500210347,2.576618370260693,2.2221517241379285,1.68,1.8,1.11,1.84
Air Algerie,2.4648848338241494,2.6959386512259194,2.5104252873563233,1.3541666666666667,1.8958333333333333,1.0416666666666667,2.4796520395084087
Malaysia Airlines,2.806572360117795,3.1520252762942196,2.666253103448275,2.43,2.31,1.23,2.37
Vietnam Airlines,3.1409187000420697,3.2822965469832366,2.8651813793103447,2.76,2.34,1.13,2.97
bmi Regional,3.1871572759055895,3.493359092226929,2.848217598097503,1.7758620689655173,1.896551724137931,1.0689655172413792,2.6206896551724137
Mihin Lanka,2.6666666666666665,2.6666666666666665,1.5,2.5,1.8333333333333333,1,3.5
Tunisair,2.7837012252839672,2.731668076780706,2.4006749999999966,1.4875,1.6375,1.05,2.7152329789640364
Eastern Airlines,1.8727913336137991,1.9572030387957626,2.3690574712643677,1,1.6666666666666667,1,1.3333333333333333
Hawaiian Airlines,2.4947349600336555,2.6748643646554915,2.1796455172413784,1.87,2.08,1.24,1.93
AB Aviation,2.6666666666666665,2.6666666666666665,2,2,2,1,2.3333333333333335
Fiji Airways,3.0603886201093813,3.473309185130347,2.9673248275862067,2.66,2.56,1.13,2.76
Safi Airways,2.2946992006731177,2.59728729310983,2.398227586206896,1,2,1,1.6
Aeroflot Russian Airlines,2.973674800168279,3.1143218232774568,2.899468275862068,2.29,2.5,1.23,2.62
Boutique Air,2.417240052698005,2.2496430648828727,2.6564954627949198,1.9473684210526316,1.9473684210526316,1.105263157894737,2
Thomas Cook Airlines Scandinavia,2.7031797784321974,2.9001404238567785,2.54167816091954,1.3333333333333333,2.111111111111111,1,2.6666666666666665
Dniproavia,2.618374000841397,2.871609116387287,2.553586206896551,1,2,1,4
US-Bangla Airlines,3.1666666666666665,3.5,3.8511954022988504,3.3333333333333335,2,1,3.5
Eritrean Airlines,2.618374000841397,2.871609116387287,2.553586206896551,1,2,1,2.9674432632134518
Shandong Airlines,2.7932859171224247,3.097121604709782,2.7165258620689663,1.5416666666666667,2,1,2.6503882982733913
United Airlines,2.1309187000420695,2.4622965469832367,2.1350041379310336,1.61,2.02,1.32,1.64
Trigana Air,3.5,3.5,2.5,4.5,2,1,3.5
Solomon Airlines,3.66183740008414,3.887160911638729,3.2553586206896554,1.9,1.6,1,3.1
Rex Airlines,4.154022000049494,4.541467202924743,3.873252197430696,4.019607843137255,2.2941176470588234,1.803921568627451,3.980392156862745
Korean Air,3.556183740008414,3.748716091163873,3.3576793103448273,3.49,3.09,1.26,3.44
Air Canada rouge,1.962367480016828,2.4574321823277456,2.0817889655172417,2.07,1.84,1.46,1.95
Air India,2.104734960033656,2.5348643646554914,2.2198227586206896,2.32,1.51,1.1,2.03
Transaero Airlines,2.7911337820782482,2.8148609996106146,2.4256539184952977,1.018181818181818,1.5272727272727273,1,3.036363636363636
TUI Airways,2.8988818356279644,3.4502960152929765,2.80015021256495,2.643835616438356,2.232876712328767,1.0547945205479452,3.0547945205479454
flydubai,1.7671024400504833,1.9322965469832365,1.8483965517241367,1.41,1.64,1.05,1.43
flyadeal,1.8143945264929253,1.920338761344692,2.297001814882033,1.3157894736842106,1.7894736842105263,1,1.736842105263158
Smartavia,1,1.3333333333333333,2.5535862068965516,1.3333333333333333,2,1,1.6666666666666667
SereneAir,2.8530623334735665,3.395268186064548,2.8883965517241372,2.6666666666666665,1.6666666666666667,1,2.5
Dimonim Air,3,3,2.5535862068965516,5,2,1,5
Tailwind Airlines,2.6666666666666665,2.3333333333333335,3.0357241379310342,2.6666666666666665,2,1,3
fastjet,2.942177878915363,2.919940775210195,2.3457868338558003,2.212121212121212,1.8484848484848484,1,2.272727272727273
Air Moldova,2.502423907407227,2.861558364579248,2.6370521251002415,1.5348837209302326,1.7906976744186047,1.0930232558139534,2.642077189733987
Aeromexico,2.060388620109381,2.0133091851303466,1.8151813793103444,1.33,1.88,1.22,1.37
SATENA,2.5,2.5,2.5535862068965516,3,2,1,3
Aero VIP,4,3.6666666666666665,2.5535862068965516,4.333333333333333,2,1,3.6666666666666665
Air France,2.9385512200252424,3.2435804558193637,2.8319662068965523,2.53,2.78,1.99,2.81
Air Canada,1.9571024400504837,2.212296546983237,2.055181379310344,1.7,2.24,1.28,1.58
Primera Air,3.1221602860748843,2.802118192737409,2.0306206896551724,2.142857142857143,2,1,2.7142857142857144
Frontier Airlines,1.416572360117796,1.6520252762942205,1.9321517241379293,1.16,1.68,1,1.17
Surinam Airways,2.604086261454886,2.823728080965071,2.496128935532235,1.391304347826087,1.9565217391304348,1,2.7067749771348204
